area_code,area_name,population
14214,伊勢原市,101839
14215,海老名市,136581
14216,座間市,132180
14217,南足柄市,40859
14218,綾瀬市,83964
14301,葉山町,31627
14321,寒川町,48366
14341,大磯町,31673
14342,二宮町,27578
14361,中井町,9299
14362,大井町,17138
14363,松田町,10840
14364,山北町,9773
14366,開成町,18333
14382,箱根町,11303
14383,真鶴町,6725
14384,湯河原町,23433
14401,愛川町,39894
14402,清川村,3038
15000,新潟県,2202358
15100,新潟市,789715
15101,新潟市北区,72847
15102,新潟市東区,134527
15103,新潟市中央区,180432
15104,新潟市江南区,68001
15105,新潟市秋葉区,75094
15106,新潟市南区,43483
15107,新潟市西区,160742
15108,新潟市西蒲区,54589
15202,長岡市,267115
15204,三条市,94679
15205,柏崎市,81549
15206,新発田市,94976
15208,小千谷市,34102
15209,加茂市,25449
15210,十日町市,49834
15211,見附市,39252
15212,村上市,57444
15213,燕市,77234
15216,糸魚川市,40778
15217,妙高市,30402
15218,五泉市,47650
15222,上越市,188119
15223,阿賀野市,40708
15224,佐渡市,51513
15225,魚沼市,34501
15226,南魚沼市,54876
15227,胎内市,28527
15307,聖籠町,14266
15342,弥彦村,7708
15361,田上町,11231
15385,阿賀町,9970
15405,出雲崎町,4114
15461,湯沢町,7770
15482,津南町,8992
15504,刈羽村,4384
15581,関川村,5147
15586,粟島浦村,353
16000,富山県,1035612
16201,富山市,414171
16202,高岡市,166513
16204,魚津市,40585
16205,氷見市,43995
16206,滑川市,32379
16207,黒部市,39647
16208,砺波市,48191
16209,小矢部市,29018
16210,南砺市,47976
16211,射水市,90807
16321,舟橋村,3133
16322,上市町,19367
16323,立山町,24862
16342,入善町,23875
16343,朝日町,11093
17000,石川県,1133294
17201,金沢市,463583
17202,七尾市,50336
17203,小松市,106292
17204,輪島市,24633
17205,珠洲市,12934
17206,加賀市,63263
17207,羽咋市,20429
17209,かほく市,34911
17210,白山市,110497
17211,能美市,48547
17212,野々市市,57260
17324,川北町,6143
17361,津幡町,36966
17365,内灘町,26588
17384,志賀町,18641
17386,宝達志水町,12129
17407,中能登町,16552
17461,穴水町,7897
17463,能登町,15693
18000,福井県,767433
18201,福井市,262501
18202,敦賀市,64302
18204,小浜市,29019
18205,大野市,31324
18206,勝山市,22180
18207,鯖江市,68363
18208,あわら市,27539
18209,越前市,80667
18210,坂井市,88533
18322,永平寺町,18980
18382,池田町,2424
18404,南越前町,10009
18423,越前町,20126
18442,美浜町,9202
18481,高浜町,10332
18483,おおい町,7913
18501,若狭町,14019
19000,山梨県,810427
19201,甲府市,189742
19202,富士吉田市,46552
19204,都留市,31023
19205,山梨市,33465
19206,大月市,22525
19207,韮崎市,29082
19208,南アルプス市,69494
19209,北杜市,44096
19210,甲斐市,75343
19211,笛吹市,66979
19212,上野原市,22677
19213,甲州市,29259
19214,中央市,31235
19346,市川三郷町,14710
19364,早川町,1098
19365,身延町,10655
19366,南部町,7157
19368,富士川町,14225
19384,昭和町,20916
19422,道志村,1608
