area_code,area_name,population,conv_store
14100,横浜市,3778318,
14101,横浜市鶴見区,297555,110
14102,横浜市神奈川区,247322,97
14103,横浜市西区,104917,68
14104,横浜市中区,151388,116
14105,横浜市南区,198054,65
14106,横浜市保土ケ谷区,207816,58
14107,横浜市磯子区,166795,44
14108,横浜市金沢区,199033,51
14109,横浜市港北区,358678,131
14110,横浜市戸塚区,283908,79
14111,横浜市港南区,215196,62
14112,横浜市旭区,245272,56
14113,横浜市緑区,183147,53
14114,横浜市瀬谷区,122671,41
14115,横浜市栄区,120263,27
14116,横浜市泉区,152452,40
14117,横浜市青葉区,310699,73
14118,横浜市都筑区,213152,72
14130,川崎市,1539081,
14131,川崎市川崎区,233228,140
14132,川崎市幸区,171188,62
14133,川崎市中原区,263785,103
14134,川崎市高津区,234342,73
14135,川崎市多摩区,221853,76
14136,川崎市宮前区,233796,66
14137,川崎市麻生区,180889,42
14150,相模原市,725302,
14151,相模原市緑区,170139,69
14152,相模原市中央区,273651,99
14153,相模原市南区,281512,94
14201,横須賀市,388504,142
14203,平塚市,258524,99
14204,鎌倉市,172821,52
14205,藤沢市,437155,152
14206,小田原市,188986,78
14207,茅ヶ崎市,242603,71
14208,逗子市,56981,13
14210,三浦市,42098,13
14211,秦野市,162579,56
14212,厚木市,223747,115
14213,大和市,239269,97
14214,伊勢原市,101839,34
14215,海老名市,136581,50
14216,座間市,132180,42
14217,南足柄市,40859,15
14218,綾瀬市,83964,32
14301,葉山町,31627,6
14321,寒川町,48366,22
14341,大磯町,31673,10
14342,二宮町,27578,8
14361,中井町,9299,6
14362,大井町,17138,7
14363,松田町,10840,4
14364,山北町,9773,3
14366,開成町,18333,6
14382,箱根町,11303,15
14383,真鶴町,6725,2
14384,湯河原町,23433,11
14401,愛川町,39894,20
14402,清川村,3038,0
15000,新潟県,2202358,
15100,新潟市,789715,
15101,新潟市北区,72847,26
15102,新潟市東区,134527,52
15103,新潟市中央区,180432,99
15104,新潟市江南区,68001,28
15105,新潟市秋葉区,75094,27
15106,新潟市南区,43483,16
15107,新潟市西区,160742,52
15108,新潟市西蒲区,54589,22
15202,長岡市,267115,103
15204,三条市,94679,33
15205,柏崎市,81549,30
15206,新発田市,94976,43
15208,小千谷市,34102,14
15209,加茂市,25449,5
15210,十日町市,49834,22
15211,見附市,39252,13
15212,村上市,57444,24
15213,燕市,77234,31
15216,糸魚川市,40778,16
15217,妙高市,30402,17
15218,五泉市,47650,20
15222,上越市,188119,77
15223,阿賀野市,40708,11
15224,佐渡市,51513,8
15225,魚沼市,34501,12
15226,南魚沼市,54876,26
15227,胎内市,28527,9
15307,聖籠町,14266,9
15342,弥彦村,7708,3
15361,田上町,11231,5
15385,阿賀町,9970,5
15405,出雲崎町,4114,2
15461,湯沢町,7770,3
15482,津南町,8992,4
15504,刈羽村,4384,2
15581,関川村,5147,3
15586,粟島浦村,353,0
16000,富山県,1035612,
16201,富山市,414171,201
16202,高岡市,166513,74
16204,魚津市,40585,18
16205,氷見市,43995,16
16206,滑川市,32379,12
16207,黒部市,39647,17
16208,砺波市,48191,20
16209,小矢部市,29018,14
16210,南砺市,47976,16
16211,射水市,90807,47
16321,舟橋村,3133,2
16322,上市町,19367,8
16323,立山町,24862,10
16342,入善町,23875,8
16343,朝日町,11093,7
16343,朝日町,11093,4
16343,朝日町,11093,2
17000,石川県,1133294,
17201,金沢市,463583,197
17202,七尾市,50336,28
17203,小松市,106292,38
17204,輪島市,24633,7
17205,珠洲市,12934,4
17206,加賀市,63263,31
17207,羽咋市,20429,10
17209,かほく市,34911,15
17210,白山市,110497,40
17211,能美市,48547,20
17212,野々市市,57260,27
17324,川北町,6143,1
17361,津幡町,36966,10
17365,内灘町,26588,9
17384,志賀町,18641,7
17386,宝達志水町,12129,3
17407,中能登町,16552,4
17461,穴水町,7897,4
17463,能登町,15693,3
18000,福井県,767433,
18201,福井市,262501,120
18202,敦賀市,64302,34
18204,小浜市,29019,12
18205,大野市,31324,11
18206,勝山市,22180,8
18207,鯖江市,68363,28
18208,あわら市,27539,12
18209,越前市,80667,32
18210,坂井市,88533,36
18322,永平寺町,18980,8
18382,池田町,2424,6
18382,池田町,2424,6
18382,池田町,2424,5
18382,池田町,2424,0
18404,南越前町,10009,5
18423,越前町,20126,6
18442,美浜町,9202,9
18442,美浜町,9202,7
18442,美浜町,9202,1
18481,高浜町,10332,5
18483,おおい町,7913,2
18501,若狭町,14019,6
19000,山梨県,810427,
19201,甲府市,189742,98
19202,富士吉田市,46552,25
19204,都留市,31023,16
19205,山梨市,33465,17
19206,大月市,22525,9
19207,韮崎市,29082,16
19208,南アルプス市,69494,32
19209,北杜市,44096,22
19210,甲斐市,75343,37
19211,笛吹市,66979,43
19212,上野原市,22677,9
19213,甲州市,29259,17
19214,中央市,31235,16
19346,市川三郷町,14710,6
19364,早川町,1098,0
19365,身延町,10655,4
19366,南部町,7157,4
19366,南部町,7157,4
19366,南部町,7157,3
19368,富士川町,14225,7
19384,昭和町,20916,17
19422,道志村,1608,0
19423,西桂町,4041,4
19424,忍野村,9236,3
19425,山中湖村,5178,9
19429,鳴沢村,2834,3
19430,富士河口湖町,26084,19
19442,小菅村,684,0
19443,丹波山村,529,0
20000,長野県,2049683,
20201,長野市,373251,170
20202,松本市,241337,116
20203,上田市,154155,68
20204,岡谷市,47820,26
20205,飯田市,98206,48
20206,諏訪市,48774,25
20207,須坂市,49583,21
20208,小諸市,41008,19
20209,伊那市,66111,26
20210,駒ヶ根市,32218,13
20211,中野市,42361,18
20212,大町市,26069,12
20213,飯山市,19547,9
20214,茅野市,56500,23
20215,塩尻市,67302,28
20217,佐久市,98300,44
20218,千曲市,58900,22
20219,東御市,30154,10
20220,安曇野市,94278,34
20303,小海町,4357,6
20304,川上村,4350,2
20304,川上村,4350,0
20305,南牧村,3272,3
20305,南牧村,3272,0
20306,南相木村,966,0
20307,北相木村,753,0
20309,佐久穂町,10217,2
20321,軽井沢町,19197,16
20323,御代田町,15563,8
20324,立科町,6617,3
20349,青木村,4124,2
20350,長和町,5606,2
20361,下諏訪町,19171,7
20362,富士見町,14108,6
20363,原村,7684,2
20382,辰野町,18562,10
20383,箕輪町,24981,9
20384,飯島町,9007,4
20385,南箕輪村,15817,9
20386,中川村,4649,2
20388,宮田村,8570,3
20402,松川町,12539,6
20403,高森町,12814,6
20403,高森町,12814,0
20404,阿南町,4302,1
20407,阿智村,6071,4
20409,平谷村,389,0
20410,根羽村,853,0
20411,下條村,3545,2
20412,売木村,549,0
20413,天龍村,1175,0
20414,泰阜村,1542,0
20415,喬木村,5977,2
20416,豊丘村,6430,2
20417,大鹿村,1021,0
20422,上松町,4123,2
20423,南木曽町,3917,1
20425,木祖村,2694,0
20429,王滝村,716,0
20430,大桑村,3439,2
20432,木曽町,10583,4
20446,麻績村,2595,2
20448,生坂村,1640,0
20450,山形村,8404,4
20451,朝日村,4282,2
20452,筑北村,4150,1
20481,池田町,9388,6
